0.553401,0.332261,0.442415,0.586878,-0.657916,-0.138990,0.655681,0.607916,0.857286,0.376808,0.727619,-0.214263,0.507848,0.695553,-0.098048,0.753469
-0.357589,-0.880523,-0.425335,-0.632059,-0.492095,-0.314358,-0.392895,-0.926483,0.475904,-0.888672,0.534211,-0.281041,-0.655850,-0.212573,-0.672055,-0.451970
-0.504430,-0.822359,-0.798343,-0.569363,-0.533365,-0.302252,-0.433622,-0.943017,-0.238466,-0.760523,0.158200,-0.268524,-0.543177,-0.303926,-0.721110,-0.645387
-0.604073,-0.558834,-0.654890,-0.259714,0.590299,-0.456652,-0.548532,-0.937373,-0.148780,-0.522265,-0.428928,0.765248,-0.662392,0.838065,-0.512353,-0.227584
-0.147618,-0.299001,-0.550496,-0.239330,0.448682,-0.044855,0.682204,-0.873134,-0.080379,0.323043,-0.809571,0.699901,-0.760774,0.807550,-0.415837,-0.065046
0.247649,-0.055968,-0.398993,-0.303746,0.190987,0.104869,0.856355,-0.424834,-0.217470,0.543184,-0.852181,0.791935,-0.604818,0.426088,-0.145486,0.166103
0.458067,0.043621,-0.066012,-0.397560,-0.145408,0.112441,0.652452,0.006489,-0.597321,0.321408,-0.784546,0.669250,-0.317603,-0.262543,0.429114,0.332024
0.491035,0.012159,0.499197,-0.217917,-0.161119,0.169234,0.248987,0.144086,-0.568338,0.586203,-0.798986,0.544990,-0.016125,-0.669232,0.749517,0.183097
0.437956,0.002535,0.531499,-0.062156,-0.176734,0.175710,-0.288700,0.420126,-0.506395,0.333244,-0.711705,-0.078700,0.189576,-0.717019,0.712110,0.058036
0.251740,-0.062049,0.436305,0.080370,-0.048037,0.134046,-0.784782,0.351234,-0.408919,-0.103160,-0.604417,-0.373217,0.358350,-0.719451,0.548943,0.019983
0.096363,-0.009018,0.293833,0.235813,0.184133,0.231522,-0.956878,0.708240,-0.414089,-0.479334,-0.271869,-0.400139,0.539051,-0.678833,0.385214,0.211245
0.019914,0.060592,0.176078,-0.077705,0.460110,0.348807,-0.968842,0.709989,-0.234348,-0.791441,0.467160,-0.755215,0.759035,-0.433208,0.204121,0.457135
-0.148850,-0.036733,0.092056,-0.125386,0.349848,0.464497,-0.874173,-0.015980,-0.228782,-0.851036,0.742065,-0.715121,0.654405,-0.099720,-0.101665,0.500556
-0.055894,-0.270847,-0.084334,-0.147794,0.100765,0.636590,-0.159870,-0.350622,0.083952,-0.522041,0.854912,0.258541,0.404838,-0.005178,-0.707631,-0.156453
0.058711,-0.224952,-0.152903,-0.014488,-0.422480,0.360154,0.108472,-0.192704,-0.050291,-0.064488,0.897386,0.307588,0.295982,-0.080707,-0.616870,-0.301105
-0.064845,-0.296766,0.172167,-0.120222,-0.667831,0.302457,-0.068563,-0.252332,0.370467,0.253778,0.682877,0.307186,0.056638,0.337912,-0.366188,-0.433516
-0.098501,-0.328206,0.141070,0.105173,-0.588010,0.659611,-0.303767,0.109596,0.565360,0.163225,0.386004,-0.144511,-0.097413,0.869724,-0.135094,-0.777917
-0.121579,-0.284791,-0.058044,0.229781,-0.566536,0.620812,0.063386,-0.082106,0.710767,0.024477,-0.034370,-0.108179,-0.656659,0.823593,-0.436927,-0.784500
-0.187233,-0.180000,-0.358047,0.359046,-0.251181,0.294057,0.556142,-0.195194,0.703610,-0.371498,-0.150585,-0.207990,-0.754664,0.617043,-0.572129,-0.540712
-0.075964,-0.222134,-0.605095,0.336528,-0.292516,0.114512,0.948848,-0.290590,0.550230,-0.346904,0.071219,0.303002,-0.720517,0.547802,-0.341117,-0.267490
-0.037270,-0.156539,-0.504478,0.111718,-0.109429,0.117742,0.909363,-0.202164,0.256733,0.112959,-0.526622,0.570322,-0.579874,0.520227,0.057767,-0.107973
-0.088726,0.122152,-0.545065,-0.189587,-0.040592,-0.198561,0.768390,-0.215653,-0.038403,0.814373,-0.867820,0.470423,-0.271563,0.296997,0.340197,0.109202
-0.282378,0.488244,-0.304860,-0.338410,0.304323,-0.407634,0.319452,0.049866,-0.593970,0.915951,-0.901405,0.425252,-0.404560,0.195466,0.677065,0.033674
-0.489230,0.392416,-0.058920,-0.128449,0.383761,-0.136355,-0.142279,-0.161096,-0.680321,0.433636,-0.872912,0.134525,-0.012799,-0.611216,0.758364,-0.272063
-0.401186,0.138709,0.367123,-0.267040,0.153035,-0.168526,-0.656028,-0.043763,-0.628269,-0.112049,-0.788813,-0.411831,-0.189774,-0.757327,0.584505,-0.142974
-0.275927,-0.365857,0.763970,-0.159551,0.134341,-0.145157,-0.916268,0.698923,-0.212352,-0.498572,-0.635257,-0.450279,0.014115,-0.652907,0.380448,-0.084769
0.182472,-0.339999,0.791460,0.128564,0.193698,0.003382,-0.953071,0.851431,-0.309259,-0.812851,0.166464,-0.590941,0.819111,-0.408438,0.290722,0.488423
0.461444,-0.196696,0.617987,0.195533,0.270083,0.358625,-0.784470,0.279827,-0.307602,-0.774197,0.635077,-0.597299,0.804912,-0.088427,0.082388,0.612494
0.615243,-0.343324,0.315416,-0.253543,0.253317,0.392903,-0.257800,-0.012970,-0.076239,-0.377984,0.769200,0.003005,0.700429,0.026073,-0.526860,0.479364
