0.180092,0.223754,0.013192,0.079515,-0.295350,-0.184713,0.417588,0.204379,0.143652,0.397067,-0.721464,-0.559566,-0.452302,0.800780,0.783608,0.187617
-0.544824,-0.679915,-0.554442,-0.445381,0.094776,-0.386112,0.017002,-0.348399,-0.550346,-0.518229,-0.142950,-0.227144,-0.392790,-0.655344,-0.742717,-0.028007
0.069285,-0.517875,0.007271,-0.540364,0.004666,0.259657,0.307521,-0.497322,-0.363330,-0.596526,0.198089,-0.209020,-0.077461,-0.435364,-0.739982,0.352479
-0.045676,-0.502430,-0.033148,-0.624936,-0.256077,0.454536,0.019071,-0.630546,0.216812,-0.776042,0.160949,0.287053,-0.421818,0.652913,-0.675211,0.461172
-0.122752,-0.543131,-0.274733,-0.307809,-0.074411,0.179270,-0.667620,0.033317,-0.067920,-0.363819,0.581097,0.198555,-0.048745,0.107015,-0.445029,0.341143
0.171351,-0.204404,-0.000439,-0.423773,0.031410,0.188777,-0.509630,0.632618,0.477429,-0.210425,0.667383,0.387666,-0.035393,0.048973,-0.375450,0.257731
0.271218,-0.323762,0.275954,-0.075246,0.114474,0.145868,-0.638086,0.616528,0.580390,-0.150602,0.620611,0.372928,-0.015418,0.221144,-0.244632,0.013061
0.348774,-0.171865,0.404401,-0.096125,0.104369,0.236623,-0.619965,0.670773,0.310841,0.048204,0.680207,0.290170,0.216250,0.092283,-0.168239,-0.236549
0.267474,-0.072186,0.475496,-0.075319,0.049513,0.339332,-0.593095,0.584854,-0.019301,0.277354,0.676126,0.215922,0.347209,0.009923,-0.107747,-0.496131
0.056066,-0.020791,0.359184,0.046922,-0.108672,0.304260,-0.591709,0.265440,-0.217083,0.503164,0.663435,-0.031631,0.544070,0.022705,0.037545,-0.773678
-0.186891,-0.084563,0.064914,0.153051,-0.334122,0.572636,-0.477675,-0.268028,-0.484628,0.740838,0.458774,-0.106563,0.395422,0.132825,0.345223,-0.794527
-0.179915,-0.073186,-0.227482,0.195461,-0.162291,0.270366,-0.418204,-0.354455,-0.846773,0.552680,-0.068087,-0.537266,-0.132351,0.200612,0.674432,-0.594366
-0.165846,-0.003022,-0.338015,-0.060654,-0.077879,-0.292582,-0.380197,-0.268936,-0.755495,0.274827,-0.717925,-0.459324,-0.663309,0.237868,0.589944,-0.348597
