8.952206932008266449e-03,-2.181140333414077759e-01,1.196972012519836426e+00,6.663608551025390625e-01,-5.797648336738348007e-03,2.227585315704345703e-01,-3.195654153823852539e-01,2.326949685811996460e-01,2.204954922199249268e-01,-1.557194888591766357e-01,-1.911605149507522583e-02,-8.052206784486770630e-02,7.949726283550262451e-02,4.568799734115600586e-01,-1.551688835024833679e-02,-2.233501911163330078e+00,5.585466977208852768e-03,4.510230123996734619e-01,-1.080412883311510086e-02,-2.403928041458129883e+00,-5.017384886741638184e-02,-3.000539243221282959e-01,-2.084860503673553467e-01,2.390783071517944336e+00,6.471157670021057129e-01,-2.421619184315204620e-02,1.888218224048614502e-01,-3.527688384056091309e-01,1.240876391530036926e-01,-2.770246565341949463e-02,-2.711426913738250732e-01,2.229058183729648590e-02,-2.522924914956092834e-02,3.704269826412200928e-01,-2.608370408415794373e-02,1.448231190443038940e-01,-1.809937655925750732e-01,7.099512219429016113e-02,2.619739063084125519e-02,3.546343359630554914e-04,-2.496118783950805664e+00,-2.790570072829723358e-02,-8.043870329856872559e-02,-2.049607597291469574e-02,-2.238070726394653320e+00,-1.547668478451669216e-03,-6.406623125076293945e-01,-1.179876998066902161e-01,1.288642287254333496e+00,6.741328239440917969e-01,-2.738993428647518158e-02,2.332792878150939941e-01,-4.813535809516906738e-01,9.520217776298522949e-02,-4.227777197957038879e-02,-2.405676841735839844e-01,3.133651241660118103e-02,7.284513860940933228e-02,2.274869978427886963e-01,-3.894982337951660156e-01,-4.161827638745307922e-02,8.248671889305114746e-02,7.537718862295150757e-02,-3.012856245040893555e-01,4.322298243641853333e-02,-2.525588035583496094e+00,-5.539948120713233948e-03,-7.520346343517303467e-02,-5.930467694997787476e-02,-2.411908388137817383e+00,-5.632027238607406616e-02
1.568046770989894867e-02,-2.168729454278945923e-01,1.177979946136474609e+00,6.660991311073303223e-01,-1.347242854535579681e-02,2.364755570888519287e-01,-3.172937035560607910e-01,2.825194895267486572e-01,1.187964691780507565e-03,-7.866872549057006836e-01,-1.042939275503158569e-01,3.916388452053070068e-01,-3.611873090267181396e-02,4.401755630970001221e-01,-9.915641695261001587e-02,-1.325113773345947266e+00,3.405804634094238281e+00,3.550432324409484863e-01,-6.850258111953735352e-01,-1.348592758178710938e+00,4.203379154205322266e+00,-2.923842072486877441e-01,-2.092116177082061768e-01,2.356612443923950195e+00,6.479772925376892090e-01,-3.316814824938774109e-02,1.775921434164047241e-01,-3.463369309902191162e-01,2.538888156414031982e-01,8.026091009378433228e-02,-9.292482137680053711e-01,-1.572496145963668823e-01,-3.855587840080261230e-01,-1.568003445863723755e-01,-1.207648776471614838e-02,-4.520982876420021057e-02,-2.545300424098968506e-01,-6.375738382339477539e-01,4.518218804150819778e-03,-1.689548492431640625e-01,-1.327335000038146973e+00,5.128780364990234375e+00,1.524050068110227585e-02,7.519834041595458984e-01,-1.340789556503295898e+00,3.985190629959106445e+00,-6.344076395034790039e-01,-1.334084868431091309e-01,1.276365160942077637e+00,6.778246760368347168e-01,-3.159455582499504089e-02,2.539047896862030029e-01,-4.354499578475952148e-01,2.030789703130722046e-01,6.544474363327026367e-01,-9.770519137382507324e-01,3.660226613283157349e-02,3.032591640949249268e-01,9.128693938255310059e-01,-2.842187881469726562e-01,7.592317461967468262e-01,1.810264289379119873e-01,5.938614606857299805e-01,-2.547928392887115479e-01,2.914454042911529541e-01,-1.361478090286254883e+00,5.014416694641113281e+00,-1.350166499614715576e-01,-3.921370804309844971e-01,-1.326302886009216309e+00,4.754809856414794922e+00
2.285475470125675201e-02,-2.193378210067749023e-01,1.037496685981750488e+00,6.636984348297119141e-01,-1.630312576889991760e-02,2.808881402015686035e-01,-3.176268339157104492e-01,2.830411791801452637e-01,-1.186939328908920288e-01,-2.384015560150146484e+00,1.067441515624523163e-02,5.905016064643859863e-01,-2.762016095221042633e-02,4.269043803215026855e-01,8.602474816143512726e-03,-5.775599479675292969e-01,1.968134880065917969e+00,1.022433266043663025e-01,-1.179211258888244629e+00,-3.723329305648803711e-01,2.803248167037963867e+00,-2.825921773910522461e-01,-2.044293582439422607e-01,2.102333068847656250e+00,6.471880078315734863e-01,-4.650879278779029846e-02,1.450522541999816895e-01,-3.763930499553680420e-01,3.513340651988983154e-01,3.290199637413024902e-01,-3.035777568817138672e+00,-2.063148170709609985e-01,-5.902800559997558594e-01,-8.573892712593078613e-01,-8.303411304950714111e-02,-4.441735148429870605e-01,-4.891342818737030029e-01,-1.000884175300598145e+00,-1.173675134778022766e-01,-7.399138808250427246e-01,-3.989258036017417908e-02,4.090782642364501953e+00,2.139900475740432739e-01,7.657573819160461426e-01,-4.064102470874786377e-01,2.823017597198486328e+00,-6.261106729507446289e-01,-1.499771475791931152e-01,1.142258763313293457e+00,6.839780807495117188e-01,-4.219087958335876465e-02,2.812080681324005127e-01,-3.281966447830200195e-01,3.658305704593658447e-01,1.563021659851074219e+00,-2.355013847351074219e+00,-5.946978181600570679e-02,1.794704943895339966e-01,1.715763807296752930e+00,8.540931344032287598e-02,1.785525202751159668e+00,3.709825575351715088e-01,7.165580391883850098e-01,-1.908733397722244263e-01,1.686759293079376221e-01,-9.335063397884368896e-02,3.889864444732666016e+00,-3.264040648937225342e-01,-1.034280300140380859e+00,-1.690632253885269165e-01,3.457063674926757812e+00
2.843855135142803192e-02,-2.250108569860458374e-01,7.662158012390136719e-01,6.607216596603393555e-01,-1.583170844241976738e-03,3.201614320278167725e-01,-3.075000643730163574e-01,1.473095566034317017e-01,-2.369977831840515137e-01,-3.845817327499389648e+00,2.931708991527557373e-01,3.062941431999206543e-01,2.209363281726837158e-01,4.994476437568664551e-01,5.212247967720031738e-01,-2.054502367973327637e-01,6.901770234107971191e-01,-2.847140133380889893e-01,-1.675700545310974121e+00,2.504216730594635010e-01,1.651214361190795898e+00,-2.726533710956573486e-01,-1.936610788106918335e-01,1.589244961738586426e+00,6.416654586791992188e-01,-5.805535987019538879e-02,1.131545007228851318e-01,-4.559139311313629150e-01,2.493419498205184937e-01,5.326778292655944824e-01,-5.062160491943359375e+00,-1.232493817806243896e-01,-2.857765257358551025e-01,-1.742964029312133789e+00,-3.166491389274597168e-01,-1.168162345886230469e+00,-7.177559733390808105e-01,-6.031371951103210449e-01,-4.144831001758575439e-01,-1.451671242713928223e+00,9.275019168853759766e-01,2.828020572662353516e+00,3.673829734325408936e-01,4.064608216285705566e-01,2.059654593467712402e-01,1.625441193580627441e+00,-6.136670112609863281e-01,-1.645216494798660278e-01,8.677639365196228027e-01,6.863921284675598145e-01,-7.088510692119598389e-02,2.948144078254699707e-01,-1.567484140396118164e-01,5.869407057762145996e-01,2.415721654891967773e+00,-3.356112957000732422e+00,-1.810383051633834839e-01,-8.076313138008117676e-02,2.414902210235595703e+00,7.685538530349731445e-01,2.873924970626831055e+00,5.313359498977661133e-01,3.918642997741699219e-01,-1.729822605848312378e-01,-4.714202880859375000e-02,8.683118820190429688e-01,2.852187871932983398e+00,-6.898273229598999023e-01,-1.644854903221130371e+00,6.173066496849060059e-01,2.112895727157592773e+00
3.820922970771789551e-02,-2.282476276159286499e-01,4.565211534500122070e-01,6.654775738716125488e-01,-2.526231706142425537e-01,3.353804945945739746e-01,-2.463451325893402100e-01,6.674336194992065430e-01,1.376319825649261475e-01,-1.874293208122253418e+00,-2.308264732360839844e+00,-3.225756883621215820e-01,1.217603206634521484e+00,7.345839142799377441e-01,1.154528737068176270e+00,-1.128740757703781128e-01,-1.462799310684204102e-01,-7.386810779571533203e-01,-1.678534150123596191e+00,5.893139243125915527e-01,8.410581946372985840e-01,-2.582840919494628906e-01,-1.938166320323944092e-01,9.605860114097595215e-01,6.372650265693664551e-01,-3.254277110099792480e-01,8.323792368173599243e-02,-5.240864753723144531e-01,6.087482571601867676e-01,-9.407116770744323730e-01,-3.149047851562500000e+00,-2.489618778228759766e+00,-2.558309137821197510e-01,-3.719156682491302490e-01,-7.203645706176757812e-01,-1.337520003318786621e+00,-8.254050016403198242e-01,5.623175948858261108e-02,-7.999842166900634766e-01,-1.518710255622863770e+00,1.377758145332336426e+00,6.181932091712951660e-01,3.651812076568603516e-01,-3.549298942089080811e-01,5.205734968185424805e-01,1.537343859672546387e-01,-5.917354822158813477e-01,-1.931299716234207153e-01,5.063708424568176270e-01,6.804976463317871094e-01,-3.652005493640899658e-01,2.700377702713012695e-01,2.041378803551197052e-02,7.933743596076965332e-01,2.241723090410232544e-01,-1.334166884422302246e+00,-1.787055373191833496e+00,-1.476135134696960449e+00,1.301271200180053711e+00,1.518702983856201172e+00,9.398948550224304199e-01,4.915751218795776367e-01,-1.097368836402893066e+00,-2.475840151309967041e-01,-4.875630736351013184e-01,1.602664232254028320e+00,1.827197790145874023e+00,-1.172906160354614258e+00,-1.952142119407653809e+00,1.004948258399963379e+00,6.762918233871459961e-01
7.242485880851745605e-02,-2.289162725210189819e-01,4.531034827232360840e-01,6.625325679779052734e-01,-2.132339328527450562e-01,3.378035426139831543e-01,-9.625619649887084961e-02,1.838857531547546387e+00,5.738532915711402893e-02,6.739345192909240723e-01,8.846508264541625977e-01,1.405727118253707886e-01,2.014380693435668945e+00,1.122705101966857910e+00,1.668763637542724609e+00,-2.952642738819122314e-01,-1.181087017059326172e+00,-1.138716220855712891e+00,-1.395683526992797852e+00,6.837408542633056641e-01,-1.067480295896530151e-01,-2.183035761117935181e-01,-2.338665276765823364e-01,9.498053193092346191e-01,6.373811960220336914e-01,-3.212838470935821533e-01,9.500224888324737549e-02,-5.246174335479736328e-01,1.973989009857177734e+00,-1.728900074958801270e+00,1.358516454696655273e+00,8.392140865325927734e-01,3.117972910404205322e-01,1.309283822774887085e-01,-1.113382339477539062e+00,-1.555752635002136230e+00,-8.043974637985229492e-01,3.868508338928222656e-02,-1.094493508338928223e+00,-9.610608816146850586e-01,1.382443189620971680e+00,-2.020177096128463745e-01,2.514848709106445312e-01,-6.295543909072875977e-01,5.390765070915222168e-01,8.077710121870040894e-02,-5.513237714767456055e-01,-2.353184968233108521e-01,4.497494101524353027e-01,6.842895746231079102e-01,-3.466624319553375244e-01,1.881539523601531982e-01,1.853373646736145020e-02,1.567083239555358887e+00,-1.369463682174682617e+00,1.542828440666198730e+00,8.940111994743347168e-01,-9.830185174942016602e-01,-2.549474239349365234e-01,1.463532686233520508e+00,-3.014149665832519531e-01,2.072830647230148315e-01,-1.016602873802185059e+00,-4.246120154857635498e-01,-8.341329097747802734e-01,1.585007548332214355e+00,-6.934616565704345703e-01,-1.592625737190246582e+00,-1.206089854240417480e+00,9.303985834121704102e-01,-6.779726147651672363e-01
1.211598366498947144e-01,-2.233726233243942261e-01,4.952167272567749023e-01,6.488862633705139160e-01,-1.223330721259117126e-01,3.489430546760559082e-01,5.898651853203773499e-02,2.229792356491088867e+00,3.654817044734954834e-01,2.010696381330490112e-01,8.892831206321716309e-01,1.567019335925579071e-02,1.059802412986755371e+00,1.586845874786376953e+00,1.732238411903381348e+00,-6.574691534042358398e-01,-1.474120855331420898e+00,-1.174819350242614746e+00,2.666270434856414795e-01,5.265129804611206055e-01,-1.063247442245483398e+00,-1.596834659576416016e-01,-2.823130488395690918e-01,1.105531811714172363e+00,6.431360244750976562e-01,-2.363539934158325195e-01,1.408089995384216309e-01,-4.735445380210876465e-01,2.234584808349609375e+00,-1.408449411392211914e+00,1.041299343109130859e+00,1.179513573646545410e+00,8.437493443489074707e-01,1.637291073799133301e+00,-1.386992692947387695e+00,8.228797465562820435e-02,-7.343733906745910645e-01,5.592167973518371582e-01,-1.385375380516052246e+00,-9.575527906417846680e-01,1.308220624923706055e+00,-3.888098299503326416e-01,3.816497698426246643e-02,-1.164902091026306152e+00,6.408588886260986328e-01,7.787439823150634766e-01,-4.920398294925689697e-01,-3.044156432151794434e-01,5.183403491973876953e-01,6.843952536582946777e-01,-2.398399859666824341e-01,1.310198307037353516e-01,3.186380118131637573e-02,1.792177319526672363e+00,-1.450947523117065430e+00,1.520186424255371094e+00,1.224295020103454590e+00,-8.872227668762207031e-01,2.670254409313201904e-01,1.357879757881164551e+00,-6.684837341308593750e-01,-5.807152017951011658e-02,-1.346983790397644043e+00,-6.661275029182434082e-01,-9.352438449859619141e-01,1.492787957191467285e+00,-1.679392717778682709e-02,-1.587889432907104492e+00,7.142798304557800293e-01,6.400265097618103027e-01,-1.601449370384216309e+00
1.711108684539794922e-01,-2.068567723035812378e-01,4.478117227554321289e-01,6.363253593444824219e-01,-5.669492855668067932e-02,3.548870384693145752e-01,1.457044482231140137e-01,1.924093484878540039e+00,9.561873078346252441e-01,-1.205667734146118164e+00,8.937400765717029572e-03,-9.919597767293453217e-03,1.215182304382324219e+00,1.815121054649353027e+00,-1.665108054876327515e-01,-9.670212864875793457e-01,-7.926890254020690918e-01,-1.083385348320007324e+00,4.316257536411285400e-01,1.167894974350929260e-01,-1.930854558944702148e+00,-9.989781677722930908e-02,-3.124539554119110107e-01,1.187799334526062012e+00,6.464788317680358887e-01,-1.496295928955078125e-01,2.721860706806182861e-01,-3.736277222633361816e-01,1.932084083557128906e+00,-1.113900423049926758e+00,1.267033815383911133e-01,6.739389300346374512e-01,2.362869024276733398e+00,1.990769028663635254e+00,-1.352565169334411621e+00,7.870051264762878418e-02,-3.908094763755798340e-01,1.687009692192077637e+00,-1.389706611633300781e+00,3.408831357955932617e-01,1.192125678062438965e+00,-8.540094494819641113e-01,-3.796368539333343506e-01,-2.000659465789794922e+00,9.781335592269897461e-01,1.623328804969787598e+00,-4.313974082469940186e-01,-3.614464104175567627e-01,6.077988743782043457e-01,6.830896139144897461e-01,-1.078178361058235168e-01,7.846394926309585571e-02,2.209044247865676880e-02,1.752263307571411133e+00,-1.792423605918884277e+00,1.289503931999206543e+00,7.545464038848876953e-01,-3.394888937473297119e-01,-4.996403157711029053e-01,1.076731920242309570e+00,-1.423291444778442383e+00,-5.543539524078369141e-01,-1.905634164810180664e+00,-9.887561798095703125e-01,-1.411749482154846191e+00,1.493740200996398926e+00,5.020492710173130035e-03,-1.246311187744140625e+00,1.770319938659667969e+00,6.392271071672439575e-02,-2.556471109390258789e+00
2.142445445060729980e-01,-1.769792288541793823e-01,2.994540333747863770e-01,6.233962774276733398e-01,-4.882815852761268616e-02,2.988846898078918457e-01,2.551438212394714355e-01,1.643608689308166504e+00,1.302978157997131348e+00,-2.058129549026489258e+00,-2.811001241207122803e-01,-1.401497006416320801e+00,1.273131847381591797e+00,1.732283949851989746e+00,-4.248198866844177246e-01,-1.010813236236572266e+00,4.256651699542999268e-01,-8.736728429794311523e-01,1.118868947029113770e+00,-4.609044492244720459e-01,-2.269541501998901367e+00,-4.234240576624870300e-02,-3.432043790817260742e-01,1.017764687538146973e+00,6.387618780136108398e-01,-1.129713952541351318e-01,4.304915964603424072e-01,-2.287722975015640259e-01,1.760019540786743164e+00,-1.137337565422058105e+00,-2.750952243804931641e+00,8.775604367256164551e-01,1.811205267906188965e+00,2.670449495315551758e+00,-1.276350617408752441e+00,4.459807276725769043e-01,2.389698624610900879e-01,2.583015680313110352e+00,-1.186435818672180176e+00,1.134357333183288574e+00,7.850893139839172363e-01,-2.123739719390869141e+00,-1.013381004333496094e+00,-2.807471752166748047e+00,1.458952665328979492e+00,1.848954916000366211e+00,-3.700119256973266602e-01,-4.186843633651733398e-01,6.485570669174194336e-01,6.868478655815124512e-01,-6.304692476987838745e-02,1.099990606307983398e-01,-3.886342793703079224e-02,1.426292300224304199e+00,-2.351927995681762695e+00,-2.067866802215576172e+00,5.477994563989341259e-04,1.840213179588317871e+00,-8.341692090034484863e-01,5.368053913116455078e-01,-2.247467279434204102e+00,-9.094336628913879395e-01,1.846220046281814575e-01,-1.434217810630798340e+00,-1.842954277992248535e+00,1.562999367713928223e+00,7.644629478454589844e-02,-6.322327852249145508e-01,2.715195417404174805e+00,-6.178088188171386719e-01,-2.345468997955322266e+00
2.453888803720474243e-01,-1.403529047966003418e-01,8.019195497035980225e-02,6.109508872032165527e-01,-1.136582577601075172e-03,1.383625715970993042e-01,3.453078567981719971e-01,8.666287064552307129e-01,1.289089560508728027e+00,-2.367841243743896484e+00,-7.369935512542724609e-01,-2.820817708969116211e+00,8.476663827896118164e-01,1.524432182312011719e+00,-1.123147368431091309e+00,-7.295697331428527832e-01,1.339526653289794922e+00,-4.741027951240539551e-01,1.839945316314697266e+00,-1.073564648628234863e+00,-2.206098318099975586e+00,7.482537534087896347e-03,-3.716031312942504883e-01,5.302398800849914551e-01,6.146163940429687500e-01,-6.111430749297142029e-02,5.703093409538269043e-01,-3.922363370656967163e-02,1.229667067527770996e+00,-1.056634783744812012e+00,-4.484482288360595703e+00,4.962611496448516846e-01,1.954260706901550293e+00,3.469537019729614258e+00,-1.052126526832580566e+00,1.154391169548034668e+00,1.137265920639038086e+00,4.029517650604248047e+00,-7.605165839195251465e-01,1.972130775451660156e+00,5.915613472461700439e-02,-3.134668111801147461e+00,-1.475216865539550781e+00,2.418701052665710449e-01,1.586213707923889160e+00,-3.281595706939697266e-01,-3.074983656406402588e-01,-4.781130850315093994e-01,6.091862916946411133e-01,6.872284412384033203e-01,-7.469547539949417114e-02,2.741110026836395264e-01,-1.337749511003494263e-01,1.449968218803405762e+00,-2.870371103286743164e+00,-3.313500642776489258e+00,-9.615414142608642578e-01,1.922361373901367188e+00,-1.243047356605529785e+00,-2.462237030267715454e-01,-3.091778755187988281e+00,-8.484968543052673340e-01,1.226016059517860413e-01,-1.733044266700744629e+00,2.401266396045684814e-01,1.552172183990478516e+00,-6.856578588485717773e-02,1.936441808938980103e-01,3.332511663436889648e+00,-1.110986113548278809e+00,-1.248665332794189453e+00
