10240,1600.0
20480,3200.0
30720,4800.0
40960,6400.0
51200,8000.0
61440,9600.0
71680,11200.0
81920,12800.0
92160,14400.0
102400,16000.0
112640,17600.0
122880,19200.0
133120,20800.0
143360,22400.0
153600,24000.0
163840,25600.0
174080,27200.0
184320,28800.0
194560,30400.0
204800,32000.0
215040,33600.0
225280,35200.0
235520,36800.0
245760,38400.0
256000,40000.0
266240,41600.0
276480,43200.0
286720,44800.0
296960,46400.0
307200,48000.0
317440,49600.0
327680,51200.0
337920,52800.0
348160,54400.0
358400,56000.0
368640,57600.0
378880,59200.0
389120,60800.0
399360,62400.0
409600,64000.0
419840,65600.0
430080,67200.0
440320,68800.0
450560,70400.0
460800,72000.0
471040,73600.0
481280,75200.0
491520,76800.0
501760,78400.0
512000,80000.0
522240,81600.0
532480,83200.0
542720,84800.0
552960,86400.0
563200,88000.0
573440,89600.0
583680,91200.0
593920,92800.0
604160,94400.0
614400,96000.0
624640,97600.0
634880,99200.0
645120,100800.0
655360,102400.0
665600,104000.0
675840,105600.0
686080,107200.0
696320,108800.0
706560,110400.0
716800,112000.0
727040,113600.0
737280,115200.0
747520,116800.0
757760,118400.0
768000,120000.0
778240,121600.0
788480,123200.0
798720,124800.0
808960,126400.0
819200,128000.0
829440,129600.0
839680,131200.0
849920,132800.0
860160,134400.0
870400,136000.0
880640,137600.0
890880,139200.0
901120,140800.0
911360,142400.0
921600,144000.0
931840,145600.0
942080,147200.0
952320,148800.0
962560,150400.0
972800,152000.0
983040,153600.0
993280,155200.0
1003520,156800.0
1013760,158400.0
1024000,160000.0
1034240,161600.0
1044480,163200.0
10240,1600.0
20480,3200.0
30720,4800.0
40960,6400.0
51200,8000.0
61440,9600.0
71680,11200.0
81920,12800.0
92160,14400.0
102400,16000.0
112640,17600.0
122880,19200.0
133120,20800.0
143360,22400.0
153600,24000.0
163840,25600.0
174080,27200.0
184320,28800.0
194560,30400.0
204800,32000.0
215040,33600.0
225280,35200.0
235520,36800.0
245760,38400.0
256000,40000.0
266240,41600.0
276480,43200.0
286720,44800.0
296960,46400.0
307200,48000.0
317440,49600.0
327680,51200.0
337920,52800.0
348160,54400.0
358400,56000.0
368640,57600.0
378880,59200.0
389120,60800.0
399360,62400.0
409600,64000.0
419840,65600.0
430080,67200.0
440320,68800.0
450560,70400.0
460800,72000.0
471040,73600.0
481280,75200.0
491520,76800.0
501760,78400.0
512000,80000.0
522240,81600.0
532480,83200.0
542720,84800.0
552960,86400.0
563200,88000.0
573440,89600.0
583680,91200.0
593920,92800.0
604160,94400.0
614400,96000.0
624640,97600.0
634880,99200.0
645120,100800.0
655360,102400.0
665600,104000.0
675840,105600.0
686080,107200.0
696320,108800.0
706560,110400.0
716800,112000.0
727040,113600.0
737280,115200.0
747520,116800.0
757760,118400.0
768000,120000.0
778240,121600.0
788480,123200.0
798720,124800.0
808960,126400.0
819200,128000.0
829440,129600.0
839680,131200.0
849920,132800.0
860160,134400.0
870400,136000.0
880640,137600.0
890880,139200.0
901120,140800.0
911360,142400.0
921600,144000.0
931840,145600.0
942080,147200.0
952320,148800.0
962560,150400.0
972800,152000.0
983040,153600.0
993280,155200.0
1003520,156800.0
1013760,158400.0
1024000,160000.0
1034240,161600.0
1044480,163200.0
10240,1600.0
20480,3200.0
30720,4800.0
40960,6400.0
51200,8000.0
61440,9600.0
71680,11200.0
81920,12800.0
92160,14400.0
102400,16000.0
112640,17600.0
122880,19200.0
133120,20800.0
143360,22400.0
153600,24000.0
163840,25600.0
174080,27200.0
184320,28800.0
194560,30400.0
204800,32000.0
215040,33600.0
225280,35200.0
235520,36800.0
245760,38400.0
256000,40000.0
266240,41600.0
276480,43200.0
286720,44800.0
296960,46400.0
307200,48000.0
317440,49600.0
327680,51200.0
337920,52800.0
348160,54400.0
358400,56000.0
368640,57600.0
378880,59200.0
389120,60800.0
399360,62400.0
409600,64000.0
419840,65600.0
430080,67200.0
440320,68800.0
450560,70400.0
460800,72000.0
471040,73600.0
481280,75200.0
491520,76800.0
501760,78400.0
512000,80000.0
522240,81600.0
532480,83200.0
542720,84800.0
552960,86400.0
563200,88000.0
573440,89600.0
583680,91200.0
593920,92800.0
604160,94400.0
614400,96000.0
624640,97600.0
634880,99200.0
645120,100800.0
655360,102400.0
665600,104000.0
675840,105600.0
686080,107200.0
696320,108800.0
706560,110400.0
716800,112000.0
727040,113600.0
737280,115200.0
747520,116800.0
757760,118400.0
768000,120000.0
778240,121600.0
788480,123200.0
798720,124800.0
808960,126400.0
819200,128000.0
829440,129600.0
839680,131200.0
849920,132800.0
860160,134400.0
870400,136000.0
880640,137600.0
890880,139200.0
901120,140800.0
911360,142400.0
921600,144000.0
931840,145600.0
942080,147200.0
952320,148800.0
962560,150400.0
972800,152000.0
983040,153600.0
993280,155200.0
1003520,156800.0
1013760,158400.0
1024000,160000.0
1034240,161600.0
1044480,163200.0
