100352,1568.0
200704,3136.0
301056,4704.0
401408,6272.0
501760,7840.0
602112,9408.0
702464,10976.0
802816,12544.0
903168,14112.0
1003520,15680.0
1103872,17248.0
1204224,18816.0
1304576,20384.0
1404928,21952.0
1505280,23520.0
1605632,25088.0
1705984,26656.0
1806336,28224.0
1906688,29792.0
2007040,31360.0
2107392,32928.0
2207744,34496.0
2308096,36064.0
2408448,37632.0
2508800,39200.0
2609152,40768.0
2709504,42336.0
2809856,43904.0
2910208,45472.0
3010560,47040.0
3110912,48608.0
3211264,50176.0
3311616,51744.0
3411968,53312.0
3512320,54880.0
3612672,56448.0
3713024,58016.0
3813376,59584.0
3913728,61152.0
4014080,62720.0
4114432,64288.0
4214784,65856.0
4315136,67424.0
4415488,68992.0
4515840,70560.0
4616192,72128.0
4716544,73696.0
4816896,75264.0
4917248,76832.0
100352,1568.0
200704,3136.0
301056,4704.0
401408,6272.0
501760,7840.0
602112,9408.0
702464,10976.0
802816,12544.0
903168,14112.0
1003520,15680.0
1103872,17248.0
1204224,18816.0
1304576,20384.0
1404928,21952.0
1505280,23520.0
1605632,25088.0
1705984,26656.0
1806336,28224.0
1906688,29792.0
2007040,31360.0
2107392,32928.0
2207744,34496.0
2308096,36064.0
2408448,37632.0
2508800,39200.0
2609152,40768.0
2709504,42336.0
2809856,43904.0
2910208,45472.0
3010560,47040.0
3110912,48608.0
3211264,50176.0
3311616,51744.0
3411968,53312.0
3512320,54880.0
3612672,56448.0
3713024,58016.0
3813376,59584.0
3913728,61152.0
4014080,62720.0
4114432,64288.0
4214784,65856.0
4315136,67424.0
4415488,68992.0
4515840,70560.0
4616192,72128.0
4716544,73696.0
4816896,75264.0
4917248,76832.0
100352,1568.0
200704,3136.0
301056,4704.0
401408,6272.0
501760,7840.0
602112,9408.0
702464,10976.0
802816,12544.0
903168,14112.0
1003520,15680.0
1103872,17248.0
1204224,18816.0
1304576,20384.0
1404928,21952.0
1505280,23520.0
1605632,25088.0
1705984,26656.0
1806336,28224.0
1906688,29792.0
2007040,31360.0
2107392,32928.0
2207744,34496.0
2308096,36064.0
2408448,37632.0
2508800,39200.0
2609152,40768.0
2709504,42336.0
2809856,43904.0
2910208,45472.0
3010560,47040.0
3110912,48608.0
3211264,50176.0
3311616,51744.0
3411968,53312.0
3512320,54880.0
3612672,56448.0
3713024,58016.0
3813376,59584.0
3913728,61152.0
4014080,62720.0
4114432,64288.0
4214784,65856.0
4315136,67424.0
4415488,68992.0
4515840,70560.0
4616192,72128.0
4716544,73696.0
4816896,75264.0
4917248,76832.0
